id,pre,post,space,decompose,parametric,debug,engineering,interest,project,source
选修一班_A01,,,,,,,,,,real_待测
选修一班_A02,,,,,,,,,,real_待测
选修一班_A03,,,,,,,,,,real_待测
选修一班_A04,,,,,,,,,,real_待测
选修一班_A05,,,,,,,,,,real_待测
选修一班_A06,,,,,,,,,,real_待测
选修一班_A07,,,,,,,,,,real_待测
选修一班_A08,,,,,,,,,,real_待测
选修一班_A09,,,,,,,,,,real_待测
选修一班_A10,,,,,,,,,,real_待测
选修一班_A11,,,,,,,,,,real_待测
选修一班_A12,,,,,,,,,,real_待测
选修一班_A13,,,,,,,,,,real_待测
选修一班_A14,,,,,,,,,,real_待测
选修一班_A15,,,,,,,,,,real_待测
选修一班_A16,,,,,,,,,,real_待测
选修一班_A17,,,,,,,,,,real_待测
选修一班_A18,,,,,,,,,,real_待测
选修一班_A19,,,,,,,,,,real_待测
选修一班_A20,,,,,,,,,,real_待测
选修一班_A21,,,,,,,,,,real_待测
选修一班_A22,,,,,,,,,,real_待测
选修一班_A23,,,,,,,,,,real_待测
选修一班_A24,,,,,,,,,,real_待测
选修一班_A25,,,,,,,,,,real_待测
选修一班_A26,,,,,,,,,,real_待测
选修一班_A27,,,,,,,,,,real_待测
选修一班_A28,,,,,,,,,,real_待测
选修一班_A29,,,,,,,,,,real_待测
选修一班_A30,,,,,,,,,,real_待测
选修二班_B01,,,,,,,,,,real_待测
选修二班_B02,,,,,,,,,,real_待测
选修二班_B03,,,,,,,,,,real_待测
选修二班_B04,,,,,,,,,,real_待测
选修二班_B05,,,,,,,,,,real_待测
选修二班_B06,,,,,,,,,,real_待测
选修二班_B07,,,,,,,,,,real_待测
选修二班_B08,,,,,,,,,,real_待测
选修二班_B09,,,,,,,,,,real_待测
选修二班_B10,,,,,,,,,,real_待测
选修二班_B11,,,,,,,,,,real_待测
选修二班_B12,,,,,,,,,,real_待测
选修二班_B13,,,,,,,,,,real_待测
选修二班_B14,,,,,,,,,,real_待测
选修二班_B15,,,,,,,,,,real_待测
选修二班_B16,,,,,,,,,,real_待测
选修二班_B17,,,,,,,,,,real_待测
选修二班_B18,,,,,,,,,,real_待测
选修二班_B19,,,,,,,,,,real_待测
选修二班_B20,,,,,,,,,,real_待测
选修二班_B21,,,,,,,,,,real_待测
选修二班_B22,,,,,,,,,,real_待测
选修二班_B23,,,,,,,,,,real_待测
选修二班_B24,,,,,,,,,,real_待测
选修二班_B25,,,,,,,,,,real_待测
选修二班_B26,,,,,,,,,,real_待测
选修二班_B27,,,,,,,,,,real_待测
选修二班_B28,,,,,,,,,,real_待测
选修二班_B29,,,,,,,,,,real_待测
选修二班_B30,,,,,,,,,,real_待测
